Method,Init_Method,AL_Method,Episode,TestAccuracy
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,60.25
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,61.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,57.99
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,15.84
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,31.03
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,36.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,34.79
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,38.59
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,42.42
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,49.09
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,48.52
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,52.55
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,55.39
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,54.69
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,15.84
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,21.07
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,39.01
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,50.14
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,55.18
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,53.48
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,61.98
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,60.13
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,60.86
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,64.94
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,61.92
Easy-to-Learn_Random,Easy-to-Learn,Random,10,11.8
Easy-to-Learn_Random,Easy-to-Learn,Random,20,20.1
Easy-to-Learn_Random,Easy-to-Learn,Random,30,24.61
Easy-to-Learn_Random,Easy-to-Learn,Random,40,42.26
Easy-to-Learn_Random,Easy-to-Learn,Random,50,38.83
Easy-to-Learn_Random,Easy-to-Learn,Random,60,44.9
Easy-to-Learn_Random,Easy-to-Learn,Random,70,49.42
Easy-to-Learn_Random,Easy-to-Learn,Random,80,50.15
Easy-to-Learn_Random,Easy-to-Learn,Random,90,55.89
Easy-to-Learn_Random,Easy-to-Learn,Random,100,57.6
Easy-to-Learn_Random,Easy-to-Learn,Random,110,58.66
Easy-to-Learn_Random,Easy-to-Learn,Random,10,11.8
Easy-to-Learn_Random,Easy-to-Learn,Random,20,23.47
Easy-to-Learn_Random,Easy-to-Learn,Random,30,40.78
Easy-to-Learn_Random,Easy-to-Learn,Random,40,56.45
Easy-to-Learn_Random,Easy-to-Learn,Random,50,58.89
Easy-to-Learn_Random,Easy-to-Learn,Random,60,50.85
Easy-to-Learn_Random,Easy-to-Learn,Random,70,48.61
Easy-to-Learn_Random,Easy-to-Learn,Random,80,47.41
Easy-to-Learn_Random,Easy-to-Learn,Random,90,46.94
Easy-to-Learn_Random,Easy-to-Learn,Random,100,53.97
Easy-to-Learn_Random,Easy-to-Learn,Random,110,60.86
Easy-to-Learn_Random,Easy-to-Learn,Random,10,11.8
Easy-to-Learn_Random,Easy-to-Learn,Random,20,36.85
Easy-to-Learn_Random,Easy-to-Learn,Random,30,41.91
Easy-to-Learn_Random,Easy-to-Learn,Random,40,49.82
Easy-to-Learn_Random,Easy-to-Learn,Random,50,52.87
Easy-to-Learn_Random,Easy-to-Learn,Random,60,57.95
Easy-to-Learn_Random,Easy-to-Learn,Random,70,50.84
Easy-to-Learn_Random,Easy-to-Learn,Random,80,51.46
Easy-to-Learn_Random,Easy-to-Learn,Random,90,53.04
Easy-to-Learn_Random,Easy-to-Learn,Random,100,54.9
Easy-to-Learn_Random,Easy-to-Learn,Random,110,58.11
Consistency_Random,Consistency,Random,10,32.65
Consistency_Random,Consistency,Random,20,40.45
Consistency_Random,Consistency,Random,30,42.3
Consistency_Random,Consistency,Random,40,39.61
Consistency_Random,Consistency,Random,50,54.47
Consistency_Random,Consistency,Random,60,57.94
Consistency_Random,Consistency,Random,70,59.94
Consistency_Random,Consistency,Random,80,61.14
Consistency_Random,Consistency,Random,90,59.43
Consistency_Random,Consistency,Random,100,60.29
Consistency_Random,Consistency,Random,110,60.77
Consistency_Random,Consistency,Random,10,32.65
Consistency_Random,Consistency,Random,20,44.58
Consistency_Random,Consistency,Random,30,43.31
Consistency_Random,Consistency,Random,40,58.96
Consistency_Random,Consistency,Random,50,52.02
Consistency_Random,Consistency,Random,60,59.26
Consistency_Random,Consistency,Random,70,59.65
Consistency_Random,Consistency,Random,80,60.91
Consistency_Random,Consistency,Random,90,57.03
Consistency_Random,Consistency,Random,100,58.05
Consistency_Random,Consistency,Random,110,57.19
Consistency_Random,Consistency,Random,10,32.65
Consistency_Random,Consistency,Random,20,32.63
Consistency_Random,Consistency,Random,30,39.92
Consistency_Random,Consistency,Random,40,47.92
Consistency_Random,Consistency,Random,50,41.49
Consistency_Random,Consistency,Random,60,44.74
Consistency_Random,Consistency,Random,70,51.63
Consistency_Random,Consistency,Random,80,49.75
Consistency_Random,Consistency,Random,90,56.04
Consistency_Random,Consistency,Random,100,48.01
Consistency_Random,Consistency,Random,110,48.52
Entropy_Random,Entropy,Random,10,4.92
Entropy_Random,Entropy,Random,20,23.12
Entropy_Random,Entropy,Random,30,41.73
Entropy_Random,Entropy,Random,40,46.07
Entropy_Random,Entropy,Random,50,54.67
Entropy_Random,Entropy,Random,60,53.51
Entropy_Random,Entropy,Random,70,58.36
Entropy_Random,Entropy,Random,80,56.69
Entropy_Random,Entropy,Random,90,57.88
Entropy_Random,Entropy,Random,100,54.75
Entropy_Random,Entropy,Random,110,48.09
Entropy_Random,Entropy,Random,10,4.92
Entropy_Random,Entropy,Random,20,30.38
Entropy_Random,Entropy,Random,30,48.26
Entropy_Random,Entropy,Random,40,49.22
Entropy_Random,Entropy,Random,50,46.27
Entropy_Random,Entropy,Random,60,46.71
Entropy_Random,Entropy,Random,70,49.51
Entropy_Random,Entropy,Random,80,36.53
Entropy_Random,Entropy,Random,90,54.48
Entropy_Random,Entropy,Random,100,59.82
Entropy_Random,Entropy,Random,110,57.69
Entropy_Random,Entropy,Random,10,4.92
Entropy_Random,Entropy,Random,20,30.78
Entropy_Random,Entropy,Random,30,29.65
Entropy_Random,Entropy,Random,40,33.97
Entropy_Random,Entropy,Random,50,39.85
Entropy_Random,Entropy,Random,60,38.34
Entropy_Random,Entropy,Random,70,42.83
Entropy_Random,Entropy,Random,80,51.07
Entropy_Random,Entropy,Random,90,51.89
Entropy_Random,Entropy,Random,100,46.94
Entropy_Random,Entropy,Random,110,51.34
Margin_Random,Margin,Random,10,32.6
Margin_Random,Margin,Random,20,45.82
Margin_Random,Margin,Random,30,50.45
Margin_Random,Margin,Random,40,60.85
Margin_Random,Margin,Random,50,53.45
Margin_Random,Margin,Random,60,55.4
Margin_Random,Margin,Random,70,58.62
Margin_Random,Margin,Random,80,61.95
Margin_Random,Margin,Random,90,64.44
Margin_Random,Margin,Random,100,66.38
Margin_Random,Margin,Random,110,65.28
Margin_Random,Margin,Random,10,32.6
Margin_Random,Margin,Random,20,36.49
Margin_Random,Margin,Random,30,50.18
Margin_Random,Margin,Random,40,58.06
Margin_Random,Margin,Random,50,56.87
Margin_Random,Margin,Random,60,55.85
Margin_Random,Margin,Random,70,55.32
Margin_Random,Margin,Random,80,57.01
Margin_Random,Margin,Random,90,60.6
Margin_Random,Margin,Random,100,60.08
Margin_Random,Margin,Random,110,62.67
Margin_Random,Margin,Random,10,32.6
Margin_Random,Margin,Random,20,35.42
Margin_Random,Margin,Random,30,44.57
Margin_Random,Margin,Random,40,41.14
Margin_Random,Margin,Random,50,44.79
Margin_Random,Margin,Random,60,42.03
Margin_Random,Margin,Random,70,46.21
Margin_Random,Margin,Random,80,55.95
Margin_Random,Margin,Random,90,58.62
Margin_Random,Margin,Random,100,55.39
Margin_Random,Margin,Random,110,55.67
BALD_Random,BALD,Random,10,5.31
BALD_Random,BALD,Random,20,28.51
BALD_Random,BALD,Random,30,36.94
BALD_Random,BALD,Random,40,43.3
BALD_Random,BALD,Random,50,53.57
BALD_Random,BALD,Random,60,51.21
BALD_Random,BALD,Random,70,54.69
BALD_Random,BALD,Random,80,60.36
BALD_Random,BALD,Random,90,59.68
BALD_Random,BALD,Random,100,65.45
BALD_Random,BALD,Random,110,67.4
BALD_Random,BALD,Random,10,5.31
BALD_Random,BALD,Random,20,25.97
BALD_Random,BALD,Random,30,41.02
BALD_Random,BALD,Random,40,41.23
BALD_Random,BALD,Random,50,42.37
BALD_Random,BALD,Random,60,54.37
BALD_Random,BALD,Random,70,54.71
BALD_Random,BALD,Random,80,56.63
BALD_Random,BALD,Random,90,52.62
BALD_Random,BALD,Random,100,51.69
BALD_Random,BALD,Random,110,54.18
BALD_Random,BALD,Random,10,5.31
BALD_Random,BALD,Random,20,26.57
BALD_Random,BALD,Random,30,38.57
BALD_Random,BALD,Random,40,50.33
BALD_Random,BALD,Random,50,53.37
BALD_Random,BALD,Random,60,58.04
BALD_Random,BALD,Random,70,60.6
BALD_Random,BALD,Random,80,57.42
BALD_Random,BALD,Random,90,56.5
BALD_Random,BALD,Random,100,57.31
BALD_Random,BALD,Random,110,57.65
VAAL_Random,VAAL,Random,10,11.8
VAAL_Random,VAAL,Random,20,40.68
VAAL_Random,VAAL,Random,30,39.64
VAAL_Random,VAAL,Random,40,47.8
VAAL_Random,VAAL,Random,50,55.47
VAAL_Random,VAAL,Random,60,52.74
VAAL_Random,VAAL,Random,70,55.93
VAAL_Random,VAAL,Random,80,54.55
VAAL_Random,VAAL,Random,90,48.7
VAAL_Random,VAAL,Random,100,49.76
VAAL_Random,VAAL,Random,110,51.5
VAAL_Random,VAAL,Random,10,11.8
VAAL_Random,VAAL,Random,20,21.49
VAAL_Random,VAAL,Random,30,25.84
VAAL_Random,VAAL,Random,40,34.87
VAAL_Random,VAAL,Random,50,52.7
VAAL_Random,VAAL,Random,60,50.74
VAAL_Random,VAAL,Random,70,52.86
VAAL_Random,VAAL,Random,80,52.86
VAAL_Random,VAAL,Random,90,48.37
VAAL_Random,VAAL,Random,100,52.92
VAAL_Random,VAAL,Random,110,50.49
VAAL_Random,VAAL,Random,10,11.8
VAAL_Random,VAAL,Random,20,39.48
VAAL_Random,VAAL,Random,30,38.05
VAAL_Random,VAAL,Random,40,43.2
VAAL_Random,VAAL,Random,50,45.65
VAAL_Random,VAAL,Random,60,45.0
VAAL_Random,VAAL,Random,70,50.33
VAAL_Random,VAAL,Random,80,49.94
VAAL_Random,VAAL,Random,90,50.03
VAAL_Random,VAAL,Random,100,50.24
VAAL_Random,VAAL,Random,110,49.79
Coreset_Random,Coreset,Random,10,24.3
Coreset_Random,Coreset,Random,20,37.13
Coreset_Random,Coreset,Random,30,48.68
Coreset_Random,Coreset,Random,40,51.1
Coreset_Random,Coreset,Random,50,54.89
Coreset_Random,Coreset,Random,60,56.09
Coreset_Random,Coreset,Random,70,48.34
Coreset_Random,Coreset,Random,80,62.83
Coreset_Random,Coreset,Random,90,61.23
Coreset_Random,Coreset,Random,100,60.47
Coreset_Random,Coreset,Random,110,62.99
Coreset_Random,Coreset,Random,10,24.3
Coreset_Random,Coreset,Random,20,29.14
Coreset_Random,Coreset,Random,30,40.18
Coreset_Random,Coreset,Random,40,32.87
Coreset_Random,Coreset,Random,50,39.48
Coreset_Random,Coreset,Random,60,44.64
Coreset_Random,Coreset,Random,70,50.22
Coreset_Random,Coreset,Random,80,52.67
Coreset_Random,Coreset,Random,90,53.57
Coreset_Random,Coreset,Random,100,60.77
Coreset_Random,Coreset,Random,110,61.03
Coreset_Random,Coreset,Random,10,24.3
Coreset_Random,Coreset,Random,20,39.21
Coreset_Random,Coreset,Random,30,45.46
Coreset_Random,Coreset,Random,40,56.6
Coreset_Random,Coreset,Random,50,53.51
Coreset_Random,Coreset,Random,60,47.84
Coreset_Random,Coreset,Random,70,49.94
Coreset_Random,Coreset,Random,80,60.84
Coreset_Random,Coreset,Random,90,62.27
Coreset_Random,Coreset,Random,100,63.77
Coreset_Random,Coreset,Random,110,62.79
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,38.59
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,53.61
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,54.72
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,53.04
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,52.44
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,55.4
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,47.81
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,57.17
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,58.09
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,57.14
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,63.43
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,38.59
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,44.32
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,50.39
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,52.17
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,51.21
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,55.07
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,52.2
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,50.71
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,52.53
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,55.52
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,61.09
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,38.59
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,47.4
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,51.18
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,54.51
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,48.2
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,48.08
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,49.92
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,53.55
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,53.06
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,52.02
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,56.32
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,10,15.84
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,20,16.03
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,30,23.29
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,40,26.07
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,50,32.08
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,60,30.07
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,70,33.96
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,80,51.56
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,90,47.94
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,100,47.48
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,110,42.55
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,10,15.84
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,20,35.79
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,30,35.5
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,40,40.5
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,50,42.26
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,60,49.28
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,70,36.88
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,80,52.92
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,90,50.81
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,100,49.0
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,110,48.91
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,10,15.84
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,20,18.73
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,30,16.92
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,40,18.37
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,50,30.53
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,60,28.25
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,70,45.78
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,80,34.54
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,90,37.13
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,100,33.18
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,110,48.31
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,10,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,20,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,30,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,40,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,50,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,60,20.63
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,70,28.38
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,80,27.06
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,90,29.3
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,100,46.96
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,110,48.31
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,10,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,20,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,30,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,40,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,50,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,60,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,70,23.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,80,26.39
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,90,42.52
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,100,52.4
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,110,55.81
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,10,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,20,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,30,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,40,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,50,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,60,11.8
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,70,24.78
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,80,48.06
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,90,52.02
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,100,50.86
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,110,59.44
Consistency_Entropy,Consistency,Entropy,10,32.65
Consistency_Entropy,Consistency,Entropy,20,36.85
Consistency_Entropy,Consistency,Entropy,30,46.34
Consistency_Entropy,Consistency,Entropy,40,42.88
Consistency_Entropy,Consistency,Entropy,50,39.11
Consistency_Entropy,Consistency,Entropy,60,47.99
Consistency_Entropy,Consistency,Entropy,70,52.34
Consistency_Entropy,Consistency,Entropy,80,49.33
Consistency_Entropy,Consistency,Entropy,90,50.74
Consistency_Entropy,Consistency,Entropy,100,54.48
Consistency_Entropy,Consistency,Entropy,110,57.42
Consistency_Entropy,Consistency,Entropy,10,32.65
Consistency_Entropy,Consistency,Entropy,20,35.68
Consistency_Entropy,Consistency,Entropy,30,39.12
Consistency_Entropy,Consistency,Entropy,40,42.33
Consistency_Entropy,Consistency,Entropy,50,41.43
Consistency_Entropy,Consistency,Entropy,60,47.38
Consistency_Entropy,Consistency,Entropy,70,50.72
Consistency_Entropy,Consistency,Entropy,80,58.79
Consistency_Entropy,Consistency,Entropy,90,50.35
Consistency_Entropy,Consistency,Entropy,100,59.01
Consistency_Entropy,Consistency,Entropy,110,57.62
Consistency_Entropy,Consistency,Entropy,10,32.65
Consistency_Entropy,Consistency,Entropy,20,37.23
Consistency_Entropy,Consistency,Entropy,30,49.82
Consistency_Entropy,Consistency,Entropy,40,39.61
Consistency_Entropy,Consistency,Entropy,50,42.81
Consistency_Entropy,Consistency,Entropy,60,53.01
Consistency_Entropy,Consistency,Entropy,70,54.36
Consistency_Entropy,Consistency,Entropy,80,57.13
Consistency_Entropy,Consistency,Entropy,90,54.64
Consistency_Entropy,Consistency,Entropy,100,54.35
Consistency_Entropy,Consistency,Entropy,110,55.64
Entropy_Entropy,Entropy,Entropy,10,4.92
Entropy_Entropy,Entropy,Entropy,20,9.83
Entropy_Entropy,Entropy,Entropy,30,23.54
Entropy_Entropy,Entropy,Entropy,40,34.65
Entropy_Entropy,Entropy,Entropy,50,39.74
Entropy_Entropy,Entropy,Entropy,60,41.95
Entropy_Entropy,Entropy,Entropy,70,43.36
Entropy_Entropy,Entropy,Entropy,80,46.0
Entropy_Entropy,Entropy,Entropy,90,47.23
Entropy_Entropy,Entropy,Entropy,100,46.6
Entropy_Entropy,Entropy,Entropy,110,47.91
Entropy_Entropy,Entropy,Entropy,10,4.92
Entropy_Entropy,Entropy,Entropy,20,6.89
Entropy_Entropy,Entropy,Entropy,30,23.47
Entropy_Entropy,Entropy,Entropy,40,29.04
Entropy_Entropy,Entropy,Entropy,50,41.38
Entropy_Entropy,Entropy,Entropy,60,42.3
Entropy_Entropy,Entropy,Entropy,70,44.39
Entropy_Entropy,Entropy,Entropy,80,52.34
Entropy_Entropy,Entropy,Entropy,90,52.87
Entropy_Entropy,Entropy,Entropy,100,54.43
Entropy_Entropy,Entropy,Entropy,110,52.73
Entropy_Entropy,Entropy,Entropy,10,4.92
Entropy_Entropy,Entropy,Entropy,20,7.05
Entropy_Entropy,Entropy,Entropy,30,23.87
Entropy_Entropy,Entropy,Entropy,40,29.01
Entropy_Entropy,Entropy,Entropy,50,32.09
Entropy_Entropy,Entropy,Entropy,60,30.47
Entropy_Entropy,Entropy,Entropy,70,40.29
Entropy_Entropy,Entropy,Entropy,80,39.6
Entropy_Entropy,Entropy,Entropy,90,41.62
Entropy_Entropy,Entropy,Entropy,100,46.98
Entropy_Entropy,Entropy,Entropy,110,48.19
Margin_Entropy,Margin,Entropy,10,32.6
Margin_Entropy,Margin,Entropy,20,43.9
Margin_Entropy,Margin,Entropy,30,39.72
Margin_Entropy,Margin,Entropy,40,40.45
Margin_Entropy,Margin,Entropy,50,41.67
Margin_Entropy,Margin,Entropy,60,41.75
Margin_Entropy,Margin,Entropy,70,41.45
Margin_Entropy,Margin,Entropy,80,37.42
Margin_Entropy,Margin,Entropy,90,37.65
Margin_Entropy,Margin,Entropy,100,48.55
Margin_Entropy,Margin,Entropy,110,40.53
Margin_Entropy,Margin,Entropy,10,32.6
Margin_Entropy,Margin,Entropy,20,32.08
Margin_Entropy,Margin,Entropy,30,33.44
Margin_Entropy,Margin,Entropy,40,38.04
Margin_Entropy,Margin,Entropy,50,39.74
Margin_Entropy,Margin,Entropy,60,38.4
Margin_Entropy,Margin,Entropy,70,34.43
Margin_Entropy,Margin,Entropy,80,41.09
Margin_Entropy,Margin,Entropy,90,44.9
Margin_Entropy,Margin,Entropy,100,47.17
Margin_Entropy,Margin,Entropy,110,47.74
Margin_Entropy,Margin,Entropy,10,32.6
Margin_Entropy,Margin,Entropy,20,41.98
Margin_Entropy,Margin,Entropy,30,39.48
Margin_Entropy,Margin,Entropy,40,35.96
Margin_Entropy,Margin,Entropy,50,34.12
Margin_Entropy,Margin,Entropy,60,43.72
Margin_Entropy,Margin,Entropy,70,47.62
Margin_Entropy,Margin,Entropy,80,52.34
Margin_Entropy,Margin,Entropy,90,57.86
Margin_Entropy,Margin,Entropy,100,56.2
Margin_Entropy,Margin,Entropy,110,62.33
BALD_Entropy,BALD,Entropy,10,5.31
BALD_Entropy,BALD,Entropy,20,18.93
BALD_Entropy,BALD,Entropy,30,19.86
BALD_Entropy,BALD,Entropy,40,18.5
BALD_Entropy,BALD,Entropy,50,20.22
BALD_Entropy,BALD,Entropy,60,19.81
BALD_Entropy,BALD,Entropy,70,26.59
BALD_Entropy,BALD,Entropy,80,23.15
BALD_Entropy,BALD,Entropy,90,22.3
